iter	Passed	Remaining
0	4	4446
1	11	5528
2	16	5518
3	22	5616
4	28	5602
5	33	5571
6	39	5633
7	44	5518
8	48	5336
9	52	5225
10	57	5149
11	61	5103
12	66	5014
13	71	5016
14	74	4915
15	78	4838
16	82	4779
17	87	4763
18	90	4683
19	94	4625
20	98	4570
21	103	4590
22	107	4548
23	111	4528
24	116	4529
25	120	4517
26	124	4471
27	127	4429
28	131	4408
29	136	4421
30	140	4394
31	144	4371
32	148	4364
33	153	4359
34	157	4333
35	160	4304
36	165	4296
37	168	4271
38	172	4241
39	175	4212
40	180	4210
41	184	4200
42	188	4186
43	192	4172
44	196	4171
45	200	4159
46	203	4135
47	207	4119
48	212	4116
49	216	4117
50	220	4097
51	223	4077
52	227	4063
53	231	4055
54	235	4040
55	239	4030
56	242	4019
57	247	4025
58	251	4009
59	255	3996
60	258	3985
61	263	3984
62	267	3971
63	270	3959
64	274	3949
65	279	3954
66	282	3940
67	286	3930
68	290	3924
69	295	3926
70	299	3918
71	302	3905
72	307	3908
73	312	3909
74	317	3915
75	321	3903
76	325	3902
77	330	3907
78	334	3895
79	338	3887
80	343	3892
81	346	3875
82	349	3865
83	352	3847
84	357	3846
85	361	3838
86	365	3830
87	367	3813
88	371	3799
89	374	3790
90	377	3774
91	381	3763
92	385	3758
93	389	3750
94	393	3744
95	396	3729
96	398	3714
97	402	3702
98	406	3696
99	409	3682
100	412	3670
101	415	3656
102	418	3641
103	421	3630
104	424	3622
105	428	3610
106	431	3599
107	434	3586
108	437	3576
109	441	3574
110	445	3569
111	449	3562
112	453	3557
113	457	3555
114	461	3548
115	464	3538
116	468	3538
117	489	3659
118	493	3651
119	496	3642
120	500	3637
121	505	3640
122	509	3632
123	513	3624
124	517	3624
125	522	3625
126	525	3615
127	529	3604
128	532	3596
129	536	3591
130	539	3579
131	542	3567
132	546	3559
133	549	3551
134	564	3617
135	569	3615
136	573	3613
137	578	3610
138	583	3612
139	588	3613
140	593	3615
141	597	3612
142	602	3611
143	607	3611
144	611	3608
145	615	3602
146	619	3595
147	623	3588
148	626	3580
149	630	3575
150	633	3564
151	637	3554
152	640	3546
153	644	3541
154	648	3537
155	652	3528
156	655	3520
157	659	3513
158	662	3503
159	665	3494
160	668	3485
161	672	3476
162	675	3469
163	678	3459
164	681	3449
165	685	3443
166	688	3434
167	692	3427
168	695	3418
169	698	3410
170	702	3405
171	706	3399
172	710	3396
173	713	3388
174	717	3380
175	720	3374
176	724	3370
177	728	3365
178	732	3358
179	735	3352
180	739	3346
181	743	3342
182	747	3336
183	750	3328
184	753	3320
185	757	3316
186	762	3313
187	765	3306
188	768	3298
189	772	3291
190	776	3288
191	779	3279
192	782	3271
193	785	3263
194	788	3256
195	793	3253
196	796	3246
197	799	3238
198	803	3234
199	807	3230
200	810	3222
201	813	3214
202	816	3206
203	821	3205
204	824	3198
205	828	3194
206	832	3188
207	836	3183
208	839	3178
209	842	3171
210	845	3163
211	849	3159
212	853	3154
213	856	3146
214	859	3138
215	862	3131
216	881	3182
217	887	3182
218	891	3179
219	896	3179
220	901	3176
221	912	3198
222	918	3200
223	922	3194
224	925	3186
